timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1749038362013,6796,HTTP Request,200,OK,Thread Group 1-40,text,true,,1238821,114,100,100,https://bobobobo.com/,278,0,182
1749038362113,6729,HTTP Request,200,OK,Thread Group 1-41,text,true,,1238830,114,100,100,https://bobobobo.com/,290,0,132
1749038363310,5611,HTTP Request,200,OK,Thread Group 1-53,text,true,,1238812,114,100,100,https://bobobobo.com/,519,0,425
1749038366310,2631,HTTP Request,200,OK,Thread Group 1-83,text,true,,1238832,114,100,100,https://bobobobo.com/,355,0,177
1749038360910,8074,HTTP Request,200,OK,Thread Group 1-29,text,true,,1238812,114,100,100,https://bobobobo.com/,144,0,70
1749038366208,2796,HTTP Request,200,OK,Thread Group 1-82,text,true,,1238822,114,100,100,https://bobobobo.com/,268,0,139
1749038365612,3477,HTTP Request,200,OK,Thread Group 1-43,text,true,,1238827,114,100,100,https://bobobobo.com/,116,0,0
1749038363610,5665,HTTP Request,200,OK,Thread Group 1-56,text,true,,1238832,114,100,100,https://bobobobo.com/,224,0,134
1749038365510,3818,HTTP Request,200,OK,Thread Group 1-75,text,true,,1238816,114,100,100,https://bobobobo.com/,137,0,57
1749038364210,5230,HTTP Request,200,OK,Thread Group 1-62,text,true,,1238827,114,100,100,https://bobobobo.com/,111,0,52
1749038363935,5639,HTTP Request,200,OK,Thread Group 1-28,text,true,,1238809,114,100,100,https://bobobobo.com/,148,0,0
1749038364702,4874,HTTP Request,200,OK,Thread Group 1-3,text,true,,1238831,114,100,100,https://bobobobo.com/,204,0,0
1749038366610,2977,HTTP Request,200,OK,Thread Group 1-86,text,true,,1238826,114,100,100,https://bobobobo.com/,568,0,328
1749038363710,5966,HTTP Request,200,OK,Thread Group 1-57,text,true,,1238822,114,100,100,https://bobobobo.com/,242,0,129
1749038365109,4747,HTTP Request,200,OK,Thread Group 1-71,text,true,,1238819,114,100,100,https://bobobobo.com/,188,0,63
1749038367609,2434,HTTP Request,200,OK,Thread Group 1-96,text,true,,1238834,114,100,100,https://bobobobo.com/,438,0,383
1749038362211,7836,HTTP Request,200,OK,Thread Group 1-42,text,true,,1238829,114,100,100,https://bobobobo.com/,250,0,97
1749038363011,7192,HTTP Request,200,OK,Thread Group 1-50,text,true,,1238825,114,100,100,https://bobobobo.com/,160,0,93
1749038365871,4432,HTTP Request,200,OK,Thread Group 1-11,text,true,,1238832,114,100,100,https://bobobobo.com/,159,0,0
1749038364710,5698,HTTP Request,200,OK,Thread Group 1-67,text,true,,1238830,114,100,100,https://bobobobo.com/,442,0,86
1749038365580,5083,HTTP Request,200,OK,Thread Group 1-36,text,true,,1238835,114,100,100,https://bobobobo.com/,168,0,0
1749038362976,8185,HTTP Request,200,OK,Thread Group 1-23,text,true,,1238831,114,100,100,https://bobobobo.com/,159,0,0
1749038366109,5098,HTTP Request,200,OK,Thread Group 1-81,text,true,,1238830,114,100,100,https://bobobobo.com/,331,0,96
1749038362919,8344,HTTP Request,200,OK,Thread Group 1-1,text,true,,1238820,114,100,100,https://bobobobo.com/,150,0,0
1749038367311,4218,HTTP Request,200,OK,Thread Group 1-93,text,true,,1238840,114,100,100,https://bobobobo.com/,416,0,328
1749038367361,4241,HTTP Request,200,OK,Thread Group 1-12,text,true,,1238825,114,100,100,https://bobobobo.com/,417,0,0
